node,citations,hindex,gindex,title,cs,bio,soc,is_bridge_node,node_type
135513,641,8,25,3,0,0,0,0,non_bridge
135514,715,13,26,0,0,0,0,0,non_bridge
135515,691,9,26,3,0,1,0,0,non_bridge
135516,133,3,11,0,0,0,0,0,non_bridge
135517,709,14,26,0,1,0,0,0,non_bridge
135518,25,3,5,0,0,1,0,1,bridge
135519,540,13,23,1,0,0,0,0,non_bridge
135520,752,12,27,3,0,1,0,1,bridge
135521,3,1,1,3,0,0,0,0,non_bridge
135522,5,1,1,0,0,0,0,1,bridge
135523,9585,41,97,3,0,0,0,0,non_bridge
135524,14,3,3,0,0,0,0,0,non_bridge
135525,0,0,0,0,0,0,0,0,non_bridge
135526,25,3,5,0,0,0,0,0,non_bridge
135527,0,0,0,3,0,0,0,0,non_bridge
135528,757,13,27,0,0,0,0,0,non_bridge
135529,65,3,8,3,0,0,0,0,non_bridge
135530,140,6,11,0,0,1,0,0,non_bridge
135531,0,0,0,3,1,0,0,0,non_bridge
135532,51,3,7,0,0,0,0,0,non_bridge
135533,26,3,5,0,0,1,0,0,non_bridge
135534,58,4,7,1,1,0,0,0,non_bridge
135535,169,7,13,0,1,0,0,0,non_bridge
135536,96,5,9,2,0,0,0,0,non_bridge
135537,225,6,15,0,1,0,0,0,non_bridge
135538,3,1,1,0,0,1,0,1,bridge
135539,37,4,5,0,1,0,0,0,non_bridge
135540,1559,14,39,2,0,0,0,1,bridge
135541,449,9,20,0,1,1,0,0,non_bridge
135542,4,2,2,0,0,0,0,0,non_bridge
135543,3,1,1,0,0,0,0,0,non_bridge
135544,5238,28,72,0,0,0,0,1,bridge
135545,4,1,2,3,0,0,0,1,bridge
135546,12,2,3,0,0,0,0,1,bridge
135547,2,1,1,0,0,0,0,0,non_bridge
135548,0,0,0,3,0,0,0,0,non_bridge
135549,2,1,1,0,0,0,0,0,non_bridge
135550,164,7,12,0,0,1,0,0,non_bridge
135551,11402,53,97,3,1,1,0,1,bridge
135552,717,11,26,0,1,0,0,0,non_bridge
135553,188,7,13,0,0,0,0,1,bridge
135554,770,14,27,2,0,0,0,0,non_bridge
135555,117,6,10,0,0,0,0,1,bridge
135556,310,11,17,3,0,1,0,0,non_bridge
135557,0,0,0,0,0,0,0,0,non_bridge
135558,49,3,6,0,0,0,0,0,non_bridge
135559,115,6,10,3,1,0,0,0,non_bridge
135560,55,5,7,3,0,0,0,0,non_bridge
135561,11,2,3,1,0,0,0,1,bridge
135562,188,8,13,0,0,1,0,0,non_bridge
135563,10,1,3,0,0,1,0,1,bridge
135564,968,20,25,0,0,0,0,0,non_bridge
135565,2170,27,40,0,0,0,0,1,bridge
135566,200,2,14,0,0,1,0,0,non_bridge
135567,58,5,6,0,0,0,0,0,non_bridge
135568,58,5,7,0,1,0,0,0,non_bridge
135569,287,7,16,0,0,0,0,0,non_bridge
135570,1,1,1,3,0,1,0,1,bridge
135571,214,7,14,3,0,0,0,0,non_bridge
135572,40,3,6,3,0,0,0,0,non_bridge
135573,712,8,26,3,0,0,0,1,bridge
135574,66,1,8,0,0,1,0,0,non_bridge
135575,46,3,6,0,0,1,0,1,bridge
135576,1270,4,35,0,1,0,0,1,bridge
135577,0,0,0,0,0,1,0,0,non_bridge
135578,2,1,1,0,0,1,0,0,non_bridge
135579,1886,18,43,0,0,1,0,0,non_bridge
135580,2,1,1,1,0,0,1,0,non_bridge
135581,1,1,1,0,0,0,0,0,non_bridge
135582,3872,12,62,0,0,0,0,1,bridge
135583,70,5,7,0,0,0,0,0,non_bridge
135584,0,0,0,0,0,0,0,0,non_bridge
