node,citations,hindex,gindex,title,cs,bio,soc,is_bridge_node,node_type
54537,11550,36,107,3,1,1,0,1,bridge
54543,85,5,9,1,1,0,0,1,bridge
54551,186,3,13,0,0,0,0,1,bridge
54556,37,4,4,0,0,0,0,1,bridge
54560,7,2,2,3,0,0,0,1,bridge
54564,37,4,5,0,0,0,0,1,bridge
54568,967,15,31,0,0,0,0,1,bridge
54572,160,6,12,0,0,0,0,1,bridge
54581,301,10,17,0,0,0,0,1,bridge
54584,870,14,27,0,0,0,0,1,bridge
54589,6062,29,77,0,0,1,0,1,bridge
54590,1987,24,44,0,0,0,0,1,bridge
54593,3,1,1,0,0,0,0,1,bridge
54594,47,3,6,0,0,0,0,1,bridge
54596,500,13,17,3,0,0,0,1,bridge
54599,267,8,16,0,0,1,0,1,bridge
54611,455,13,19,0,0,0,0,1,bridge
54627,44,4,6,0,0,0,0,1,bridge
54628,86,5,9,0,1,0,0,1,bridge
54629,99,6,9,0,0,0,0,1,bridge
54633,3,1,1,3,0,0,0,1,bridge
54634,77,4,8,0,0,0,0,1,bridge
54638,422,11,19,3,0,0,0,1,bridge
54641,169,7,11,0,1,0,0,1,bridge
54644,8,1,2,0,0,1,0,1,bridge
54649,49,3,6,0,0,0,0,1,bridge
54652,10,2,3,0,0,0,0,1,bridge
54656,1857,20,37,3,1,0,0,1,bridge
54657,17,2,4,2,0,0,0,1,bridge
54662,12,3,3,0,0,0,0,1,bridge
54667,333,12,18,2,0,1,0,1,bridge
54668,2,1,1,0,0,0,0,1,bridge
54671,52,4,7,1,0,1,0,1,bridge
54673,117,7,9,0,0,0,0,1,bridge
54675,60,6,7,3,0,0,0,1,bridge
54679,1603,22,38,0,0,0,0,1,bridge
54682,147,7,11,0,0,0,0,1,bridge
54689,2040,24,37,3,0,1,0,1,bridge
54691,6267,42,77,0,0,0,0,1,bridge
54700,10,1,3,0,0,0,0,1,bridge
54711,391,2,19,0,0,0,0,1,bridge
54720,22,3,4,0,0,0,0,1,bridge
54721,16,1,4,0,0,0,0,1,bridge
54722,378,12,15,3,1,0,0,1,bridge
54731,1169,19,33,0,0,0,0,1,bridge
54732,735,16,24,0,0,0,0,1,bridge
54746,67,4,7,0,0,0,0,1,bridge
54750,8,2,2,0,0,1,0,1,bridge
54751,74,5,8,0,0,0,0,1,bridge
54753,75,5,8,3,0,0,0,1,bridge
54763,99,6,6,3,0,0,0,1,bridge
54766,185,9,13,0,0,1,0,1,bridge
54767,39,4,5,2,0,0,0,1,bridge
54769,100,3,10,0,0,1,0,1,bridge
54784,52,4,6,0,0,0,0,1,bridge
54787,96,5,9,0,0,0,0,1,bridge
54791,1088,20,29,3,0,0,0,1,bridge
54792,1030,15,31,3,0,0,0,1,bridge
54794,8,1,2,0,0,0,0,1,bridge
54805,12312,52,108,0,0,0,0,1,bridge
54806,11,2,3,0,0,1,0,1,bridge
54816,137,6,11,0,0,0,0,1,bridge
54824,1,1,1,2,0,0,0,1,bridge
54832,3685,27,60,3,0,1,0,1,bridge
54834,13,2,2,0,0,0,0,1,bridge
54837,98,6,9,0,0,0,0,1,bridge
54842,31,4,5,0,0,0,0,1,bridge
54849,223,7,13,3,0,0,0,1,bridge
54858,25,3,5,1,1,0,0,1,bridge
54860,30,3,4,0,0,0,0,1,bridge
54861,1,1,1,1,0,1,0,1,bridge
54864,15,2,3,0,0,0,0,1,bridge
54870,7,1,2,1,1,0,0,1,bridge
54871,9,2,3,0,0,1,0,1,bridge
54873,438,11,19,0,0,0,0,1,bridge
54877,3232,16,56,3,0,0,0,1,bridge
54884,2,1,1,0,1,0,0,1,bridge
54885,603,13,24,0,0,0,0,1,bridge
54891,67,3,8,0,0,0,0,1,bridge
54893,127,5,11,0,0,0,0,1,bridge
54895,2,1,1,0,0,0,0,1,bridge
54899,121,5,11,3,1,0,0,1,bridge
54900,207,9,14,3,0,1,0,1,bridge
54904,130,3,11,0,0,0,0,1,bridge
54907,308,11,17,0,0,0,0,1,bridge
54908,82,5,7,0,0,0,0,1,bridge
54910,58,4,6,0,0,1,0,1,bridge
54911,147,6,12,0,0,1,0,1,bridge
54912,15,2,3,1,0,0,0,1,bridge
54914,321,8,17,3,0,0,0,1,bridge
54917,3,1,1,0,0,0,0,1,bridge
54921,2,1,1,0,0,0,0,1,bridge
54924,4046,35,60,3,0,1,0,1,bridge
54925,2,1,1,3,0,0,0,1,bridge
54928,72,4,8,0,0,1,0,1,bridge
54936,0,0,0,0,0,0,0,1,bridge
54947,4,1,1,1,0,1,0,1,bridge
54953,15159,53,123,3,0,1,0,1,bridge
54956,0,0,0,0,0,1,0,1,bridge
54968,487,5,22,0,0,0,0,1,bridge
54972,519,13,19,3,1,0,0,1,bridge
54980,7,2,2,0,0,0,0,1,bridge
54982,1199,18,33,3,0,0,0,1,bridge
54983,87,4,9,0,0,0,0,1,bridge
54986,131,4,11,0,0,0,0,1,bridge
54987,551,12,23,2,1,1,0,1,bridge
54988,2,1,1,0,0,0,0,1,bridge
54993,41,3,6,0,0,1,0,1,bridge
54995,1015,16,31,0,1,0,0,1,bridge
55007,2497,18,49,0,0,0,0,1,bridge
55012,6,1,2,0,0,0,0,1,bridge
55015,3,1,1,0,0,0,0,1,bridge
